date,temperature_2m_min,latitude,longitude
1950-05-14,8.512,49.17398834228516,16.615385055541992
1950-05-14,10.55,49.94727325439453,15.365854263305664
1950-05-14,9.0655,50.79085922241211,14.893238067626951
1950-05-14,9.311999,50.08787155151367,14.318181991577148
1950-05-14,6.814,50.22846984863281,12.947367668151855
1950-05-14,7.055,49.45518112182617,17.19449234008789
1950-05-14,8.849,50.43936538696289,15.396825790405272
1950-05-14,9.764501,50.017574310302734,15.706806182861328
1950-05-14,8.55,49.10368728637695,16.126279830932617
1950-05-14,6.65,49.3145866394043,17.5986270904541
1950-05-14,10.153,50.65026092529297,14.042552947998049
1950-05-14,10.1515,49.66608047485352,18.06228446960449
1950-05-14,7.15,48.96309280395508,14.540816307067873
1950-05-14,7.228,49.73637771606445,13.41421127319336
1951-05-14,7.362,49.17398834228516,16.615385055541992
1951-05-14,6.855,49.45518112182617,17.19449234008789
1951-05-14,5.0145,50.017574310302734,15.706806182861328
1951-05-14,6.1489997,50.43936538696289,15.396825790405272
1951-05-14,6.15,49.66608047485352,18.06228446960449
1951-05-14,6.0155,49.94727325439453,15.365854263305664
1951-05-14,4.053,50.65026092529297,14.042552947998049
1951-05-14,2.414,50.22846984863281,12.947367668151855
1951-05-14,5.412,50.08787155151367,14.318181991577148
1951-05-14,4.15,48.96309280395508,14.540816307067873
1951-05-14,6.1265,49.3145866394043,17.5986270904541
1951-05-14,4.55,49.10368728637695,16.126279830932617
1951-05-14,4.1280003,49.73637771606445,13.41421127319336
1951-05-14,5.55,50.79085922241211,14.893238067626951
1952-05-14,7.699,50.43936538696289,15.396825790405272
1952-05-14,7.1029997,50.65026092529297,14.042552947998049
1952-05-14,6.3815002,48.96309280395508,14.540816307067873
1952-05-14,7.3155003,50.79085922241211,14.893238067626951
1952-05-14,7.362,50.08787155151367,14.318181991577148
1952-05-14,7.3155003,49.10368728637695,16.126279830932617
1952-05-14,8.0155,49.94727325439453,15.365854263305664
1952-05-14,6.1619997,49.17398834228516,16.615385055541992
1952-05-14,5.15,49.66608047485352,18.06228446960449
1952-05-14,6.105,49.45518112182617,17.19449234008789
1952-05-14,8.1645,50.017574310302734,15.706806182861328
1952-05-14,7.228,49.73637771606445,13.41421127319336
1952-05-14,6.0765,49.3145866394043,17.5986270904541
1952-05-14,6.564,50.22846984863281,12.947367668151855
1953-05-14,1.4619999,50.08787155151367,14.318181991577148
1953-05-14,0.8015,49.66608047485352,18.06228446960449
1953-05-14,3.203,50.65026092529297,14.042552947998049
1953-05-14,0.549,50.43936538696289,15.396825790405272
1953-05-14,2.65,49.3145866394043,17.5986270904541
1953-05-14,0.22800002,49.73637771606445,13.41421127319336
1953-05-14,-0.386,50.22846984863281,12.947367668151855
1953-05-14,0.10500002,49.45518112182617,17.19449234008789
1953-05-14,-0.7345,49.10368728637695,16.126279830932617
1953-05-14,0.61550003,50.79085922241211,14.893238067626951
1953-05-14,1.7815001,48.96309280395508,14.540816307067873
1953-05-14,0.262,49.17398834228516,16.615385055541992
1953-05-14,-0.2845,49.94727325439453,15.365854263305664
1953-05-14,-0.5355,50.017574310302734,15.706806182861328
1954-05-14,2.4654999,49.10368728637695,16.126279830932617
1954-05-14,2.1155,50.79085922241211,14.893238067626951
1954-05-14,2.599,50.43936538696289,15.396825790405272
1954-05-14,2.55,49.94727325439453,15.365854263305664
1954-05-14,2.5029998,50.65026092529297,14.042552947998049
1954-05-14,1.455,49.45518112182617,17.19449234008789
1954-05-14,2.1315,48.96309280395508,14.540816307067873
1954-05-14,2.45,50.017574310302734,15.706806182861328
1954-05-14,1.65,49.3145866394043,17.5986270904541
1954-05-14,2.612,50.08787155151367,14.318181991577148
1954-05-14,2.128,49.73637771606445,13.41421127319336
1954-05-14,2.762,49.17398834228516,16.615385055541992
1954-05-14,0.5015,49.66608047485352,18.06228446960449
1954-05-14,0.76399994,50.22846984863281,12.947367668151855
1955-05-14,6.1029997,50.65026092529297,14.042552947998049
1955-05-14,8.712,50.08787155151367,14.318181991577148
1955-05-14,5.705,49.45518112182617,17.19449234008789
1955-05-14,6.549,50.43936538696289,15.396825790405272
1955-05-14,7.9154997,49.94727325439453,15.365854263305664
1955-05-14,7.9764996,49.3145866394043,17.5986270904541
1955-05-14,6.5655003,49.10368728637695,16.126279830932617
1955-05-14,6.564,50.22846984863281,12.947367668151855
1955-05-14,7.3780003,49.73637771606445,13.41421127319336
1955-05-14,7.45,50.017574310302734,15.706806182861328
1955-05-14,8.55,50.79085922241211,14.893238067626951
1955-05-14,6.15,48.96309280395508,14.540816307067873
1955-05-14,8.15,49.66608047485352,18.06228446960449
1955-05-14,6.312,49.17398834228516,16.615385055541992
1956-05-14,5.3989997,50.43936538696289,15.396825790405272
1956-05-14,4.9154997,49.94727325439453,15.365854263305664
1956-05-14,2.9780002,49.73637771606445,13.41421127319336
1956-05-14,5.65,49.3145866394043,17.5986270904541
1956-05-14,5.3155003,50.79085922241211,14.893238067626951
1956-05-14,5.362,50.08787155151367,14.318181991577148
1956-05-14,5.203,50.65026092529297,14.042552947998049
1956-05-14,4.45,50.017574310302734,15.706806182861328
1956-05-14,6.812,49.17398834228516,16.615385055541992
1956-05-14,5.605,49.45518112182617,17.19449234008789
1956-05-14,2.064,50.22846984863281,12.947367668151855
1956-05-14,2.15,48.96309280395508,14.540816307067873
1956-05-14,5.55,49.10368728637695,16.126279830932617
1956-05-14,5.15,49.66608047485352,18.06228446960449
1957-05-14,10.012,49.17398834228516,16.615385055541992
1957-05-14,8.055,49.45518112182617,17.19449234008789
