date,temperature_2m_min,latitude,longitude
1950-05-13,10.55,49.94727325439453,15.365854263305664
1950-05-13,9.178,49.73637771606445,13.41421127319336
1950-05-13,10.45,50.017574310302734,15.706806182861328
1950-05-13,9.1815,48.96309280395508,14.540816307067873
1950-05-13,6.1549997,49.45518112182617,17.19449234008789
1950-05-13,9.55,50.79085922241211,14.893238067626951
1950-05-13,5.7764997,49.3145866394043,17.5986270904541
1950-05-13,7.562,49.17398834228516,16.615385055541992
1950-05-13,8.15,49.66608047485352,18.06228446960449
1950-05-13,7.653,50.65026092529297,14.042552947998049
1950-05-13,6.3120003,50.08787155151367,14.318181991577148
1950-05-13,7.6489997,50.43936538696289,15.396825790405272
1950-05-13,8.0155,49.10368728637695,16.126279830932617
1950-05-13,7.314,50.22846984863281,12.947367668151855
1951-05-13,4.349,50.43936538696289,15.396825790405272
1951-05-13,1.55,49.94727325439453,15.365854263305664
1951-05-13,1.712,49.17398834228516,16.615385055541992
1951-05-13,3.953,50.65026092529297,14.042552947998049
1951-05-13,3.15,49.66608047485352,18.06228446960449
1951-05-13,1.5764999,49.3145866394043,17.5986270904541
1951-05-13,1.3145001,50.017574310302734,15.706806182861328
1951-05-13,4.15,48.96309280395508,14.540816307067873
1951-05-13,1.1155001,49.10368728637695,16.126279830932617
1951-05-13,1.562,50.08787155151367,14.318181991577148
1951-05-13,1.0550001,49.45518112182617,17.19449234008789
1951-05-13,1.5155001,50.79085922241211,14.893238067626951
1951-05-13,3.678,49.73637771606445,13.41421127319336
1951-05-13,2.414,50.22846984863281,12.947367668151855
1952-05-13,7.4620004,50.08787155151367,14.318181991577148
1952-05-13,7.1015,49.66608047485352,18.06228446960449
1952-05-13,7.053,50.65026092529297,14.042552947998049
1952-05-13,8.55,49.94727325439453,15.365854263305664
1952-05-13,8.199,50.43936538696289,15.396825790405272
1952-05-13,8.65,49.3145866394043,17.5986270904541
1952-05-13,8.815499,49.10368728637695,16.126279830932617
1952-05-13,7.778,49.73637771606445,13.41421127319336
1952-05-13,8.15,48.96309280395508,14.540816307067873
1952-05-13,8.3550005,49.45518112182617,17.19449234008789
1952-05-13,8.45,50.017574310302734,15.706806182861328
1952-05-13,7.55,50.79085922241211,14.893238067626951
1952-05-13,6.1140003,50.22846984863281,12.947367668151855
1952-05-13,7.962,49.17398834228516,16.615385055541992
1953-05-13,1.6550001,49.45518112182617,17.19449234008789
1953-05-13,2.1815,48.96309280395508,14.540816307067873
1953-05-13,2.65,49.3145866394043,17.5986270904541
1953-05-13,2.15,49.66608047485352,18.06228446960449
1953-05-13,4.4620004,50.08787155151367,14.318181991577148
1953-05-13,1.114,50.22846984863281,12.947367668151855
1953-05-13,1.962,49.17398834228516,16.615385055541992
1953-05-13,3.45,50.017574310302734,15.706806182861328
1953-05-13,2.6529999,50.65026092529297,14.042552947998049
1953-05-13,1.55,50.79085922241211,14.893238067626951
1953-05-13,1.55,49.10368728637695,16.126279830932617
1953-05-13,2.399,50.43936538696289,15.396825790405272
1953-05-13,4.0155,49.94727325439453,15.365854263305664
1953-05-13,4.528,49.73637771606445,13.41421127319336
1954-05-13,4.55,49.10368728637695,16.126279830932617
1954-05-13,4.7120004,50.08787155151367,14.318181991577148
1954-05-13,4.6549997,49.45518112182617,17.19449234008789
1954-05-13,5.1765003,49.3145866394043,17.5986270904541
1954-05-13,6.278,49.73637771606445,13.41421127319336
1954-05-13,5.4119997,49.17398834228516,16.615385055541992
1954-05-13,4.45,50.017574310302734,15.706806182861328
1954-05-13,4.064,50.22846984863281,12.947367668151855
1954-05-13,4.15,48.96309280395508,14.540816307067873
1954-05-13,3.55,50.79085922241211,14.893238067626951
1954-05-13,3.8530002,50.65026092529297,14.042552947998049
1954-05-13,4.599,50.43936538696289,15.396825790405272
1954-05-13,4.55,49.94727325439453,15.365854263305664
1954-05-13,4.1515,49.66608047485352,18.06228446960449
1955-05-13,3.249,50.43936538696289,15.396825790405272
1955-05-13,2.8144999,50.017574310302734,15.706806182861328
1955-05-13,3.55,49.10368728637695,16.126279830932617
1955-05-13,3.578,49.73637771606445,13.41421127319336
1955-05-13,3.1030002,50.65026092529297,14.042552947998049
1955-05-13,2.55,50.79085922241211,14.893238067626951
1955-05-13,3.55,49.94727325439453,15.365854263305664
1955-05-13,7.312,49.17398834228516,16.615385055541992
1955-05-13,2.65,49.3145866394043,17.5986270904541
1955-05-13,2.3014998,49.66608047485352,18.06228446960449
1955-05-13,2.912,50.08787155151367,14.318181991577148
1955-05-13,2.15,48.96309280395508,14.540816307067873
1955-05-13,6.205,49.45518112182617,17.19449234008789
1955-05-13,4.564,50.22846984863281,12.947367668151855
1956-05-13,5.653,50.65026092529297,14.042552947998049
1956-05-13,8.212,49.17398834228516,16.615385055541992
1956-05-13,7.45,50.017574310302734,15.706806182861328
1956-05-13,4.6315002,48.96309280395508,14.540816307067873
1956-05-13,7.7155004,49.10368728637695,16.126279830932617
1956-05-13,6.0655003,50.79085922241211,14.893238067626951
1956-05-13,7.1765003,49.3145866394043,17.5986270904541
1956-05-13,6.4620004,50.08787155151367,14.318181991577148
1956-05-13,7.5655003,49.94727325439453,15.365854263305664
1956-05-13,2.964,50.22846984863281,12.947367668151855
1956-05-13,4.528,49.73637771606445,13.41421127319336
1956-05-13,7.349,50.43936538696289,15.396825790405272
1956-05-13,6.605,49.45518112182617,17.19449234008789
1956-05-13,6.15,49.66608047485352,18.06228446960449
1957-05-13,4.662,50.08787155151367,14.318181991577148
1957-05-13,6.55,49.94727325439453,15.365854263305664
